"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"117","117","506.7317038410953","2","128","377.76825365928346","2686.9669761283135","47.10923599527941","225.48609985843285","361.4510580114691","495.3208453385831","127.43760316957936","1.4672553341771255","0","210","0","0","1","1","0"
"118","118","442.7499840934693","2","129","378.4031011733497","2625.5604019281895","60.89945902439239","225.94564698017422","361.0510944918409","495.0001779583435","126.62377905900381","1.4672553341771255","0","210","0","0","1","1","0"
"119","119","513.7848203302932","2","130","330.6110503827995","2549.984530526247","38.569041838702496","251.06678505529572","361.66106020546334","496.3041294796956","125.98482134238101","1.4672553341771255","0","210","0","0","1","1","0"
"120","120","487.1418099321683","2","131","333.1421545625142","2524.602709334802","39.93172310224358","269.51412842429096","361.0967692146564","495.2797925945424","126.37391417791201","1.4672553341771255","0","210","0","0","1","1","0"
"121","121","612.0764042409605","2","133","346.2873456235303","2593.384694406283","49.32289859157756","325.3647850053523","360.81919411057265","493.8518107211968","127.28376796487963","1.4672553341771255","0","210","0","0","1","1","0"
"122","122","615.7185042403186","2","134","317.23658778659393","2437.876069465549","39.42102101011636","328.40571653212976","360.5373539502443","493.7051740438744","127.0769750086488","1.4672553341771255","0","210","0","0","1","1","0"
"123","123","525.9362389591914","2","135","316.59258192764827","2413.184421081647","37.22041187857267","320.4541591616075","360.9037560711653","493.2220910490046","127.37094954389745","1.4672553341771255","0","210","0","0","1","1","0"
"124","124","504.91885405005127","2","136","302.55668940969036","2455.773136099252","38.99130580375636","272.184330405909","361.29648731506853","492.51398284496327","127.74461269787255","1.4672553341771255","0","210","0","0","1","1","0"
"125","125","389.22575220348875","2","137","283.3015018565885","2248.2991046093466","28.92420061634989","288.84775517445365","360.521890645535","492.5917777693041","127.35405480642068","1.4672553341771255","0","210","0","0","1","1","0"
"126","126","590.1337864808922","2","138","262.93349529825247","2483.6453875942098","24.04935666322431","270.7087647054259","361.5463637990428","493.06551312842544","127.34261044628494","1.4672553341771255","0","210","0","0","1","1","0"
