"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","H","HtoL","adaxials","checked"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","",""
"127 ? 126","206","4.048640254331176","127.0","126.0","4.048640254331176","0","1","0","1"
"128 ? 127","207","4.609709523575301","128.0","127.0","4.609709523575301","0","1","0","1"
"129 ? 128","208","1.9233558945773523","129.0","128.0","1.9233558945773523","0","1","0","1"
"130 ? 129","209","4.7451977532385525","130.0","129.0","4.7451977532385525","0","1","0","1"
"131 ? 130","210","1.8381066817522016","131.0","130.0","1.8381066817522016","0","1","0","1"
"132 ? 131","211","4.161190982062503","132.0","131.0","4.161190982062503","0","1","0","1"
"133 ? 132","212","6.594053791031532","133.0","132.0","6.594053791031532","0","1","0","1"
"134 ? 133","213","8.072005022481036","134.0","133.0","8.072005022481036","0","1","0","1"
"135 ? 134","214","4.578693859233266","135.0","134.0","4.578693859233266","0","1","0","1"
"136 ? 135","215","6.433373386132727","136.0","135.0","6.433373386132727","0","1","0","1"
"137 ? 136","216","7.830307948703247","137.0","136.0","7.830307948703247","0","1","0","1"
"138 ? 137","217","6.766334093320289","138.0","137.0","6.766334093320289","0","1","0","1"
"139 ? 138","218","4.128960809484737","139.0","138.0","4.128960809484737","0","1","0","1"
"140 ? 139","219","3.193969238653042","140.0","139.0","3.193969238653042","0","1","0","1"
"141 ? 140","220","1.962553009616102","141.0","140.0","1.962553009616102","0","1","0","1"
